2026-08-15 18:05:21,368 - INFO - Carregando mapa de categorias...
2026-08-15 18:05:21,369 - INFO - Extraindo informações do TXT...
2026-08-15 18:05:21,369 - INFO - Telefones/Protocolos extraídos: 3
2026-08-15 18:05:21,369 - INFO - Processando base de dados CSV...
2026-08-15 18:05:21,375 - WARNING - Registro rejeitado. Protocolo: SUP-2026-0002, Motivo: Campos essenciais inválidos ou e-mail malformado.
2026-08-15 18:05:21,375 - WARNING - Registro rejeitado. Protocolo: SUP-2026-0003, Motivo: Campos essenciais inválidos ou e-mail malformado.
2026-08-15 18:05:21,375 - WARNING - Registro rejeitado. Protocolo: SUP-2026-0004, Motivo: Campos essenciais inválidos ou e-mail malformado.
2026-08-15 18:05:21,375 - WARNING - Registro rejeitado. Protocolo: SUP-2026-0006, Motivo: Campos essenciais inválidos ou e-mail malformado.
2026-08-15 18:05:21,376 - WARNING - Registro rejeitado. Protocolo: SUP-2026-0007, Motivo: Campos essenciais inválidos ou e-mail malformado.
2026-08-15 18:05:21,376 - WARNING - Registro rejeitado. Protocolo: SUP-2026-0008, Motivo: Campos essenciais inválidos ou e-mail malformado.
2026-08-15 18:05:21,376 - WARNING - Registro rejeitado. Protocolo: SUP-2026-0010, Motivo: Campos essenciais inválidos ou e-mail malformado.
2026-08-15 18:05:21,376 - WARNING - Registro rejeitado. Protocolo: SUP-2026-0011, Motivo: Campos essenciais inválidos ou e-mail malformado.
2026-08-15 18:05:21,376 - WARNING - Registro rejeitado. Protocolo: SUP-2026-0012, Motivo: Campos essenciais inválidos ou e-mail malformado.
2026-08-15 18:05:21,377 - WARNING - Registro rejeitado. Protocolo: SUP-2026-0014, Motivo: Campos essenciais inválidos ou e-mail malformado.
2026-08-15 18:05:21,377 - WARNING - Registro rejeitado. Protocolo: SUP-2026-0015, Motivo: Campos essenciais inválidos ou e-mail malformado.
2026-08-15 18:05:21,377 - WARNING - Registro rejeitado. Protocolo: SUP-2026-0016, Motivo: Campos essenciais inválidos ou e-mail malformado.
2026-08-15 18:05:21,377 - WARNING - Registro rejeitado. Protocolo: SUP-2026-0018, Motivo: Campos essenciais inválidos ou e-mail malformado.
2026-08-15 18:05:21,377 - WARNING - Registro rejeitado. Protocolo: SUP-2026-0019, Motivo: Campos essenciais inválidos ou e-mail malformado.
2026-08-15 18:05:21,377 - WARNING - Registro rejeitado. Protocolo: SUP-2026-0020, Motivo: Campos essenciais inválidos ou e-mail malformado.
2026-08-15 18:05:21,377 - WARNING - Registro rejeitado. Protocolo: SUP-2026-0022, Motivo: Campos essenciais inválidos ou e-mail malformado.
2026-08-15 18:05:21,378 - WARNING - Registro rejeitado. Protocolo: SUP-2026-0023, Motivo: Campos essenciais inválidos ou e-mail malformado.
2026-08-15 18:05:21,378 - WARNING - Registro rejeitado. Protocolo: SUP-2026-0024, Motivo: Campos essenciais inválidos ou e-mail malformado.
